N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
146,효성,"85,100","1,100",+1.31%,"5,000","17,931","21,071",8.54,"119,188",-33.99,-2.26,
147,현대엘리베이,"43,900",50,+0.11%,"5,000","17,918","40,815",28.06,"98,371",18.54,9.78,
148,LS ELECTRIC,"58,200",400,+0.69%,"5,000","17,460","30,000",13.90,"67,024",22.43,7.82,
149,영원무역,"39,300",350,-0.88%,500,"17,414","44,311",25.11,"82,670",10.63,9.82,
150,효성첨단소재,"382,000","2,000",+0.53%,"5,000","17,113","4,480",10.11,"231,938","21,222.20",0.03,
151,농심,"281,000","2,000",-0.71%,"5,000","17,092","6,083",16.28,"12,022",11.51,7.50,
152,KODEX 삼성그룹,"9,745",45,+0.46%,0,"16,966","174,100",0.03,"174,079",N/A,N/A,
153,아이에스동서,"54,900","1,000",+1.86%,500,"16,960","30,893",5.25,"84,094",13.65,10.92,
154,코오롱인더,"62,600","1,600",+2.62%,"5,000","16,889","26,979",17.55,"717,419",9.15,9.70,
155,한국앤컴퍼니,"18,050",150,+0.84%,500,"16,790","93,020",8.59,"184,880",9.91,5.08,
156,녹십자홀딩스,"35,400","1,250",-3.41%,500,"16,648","47,028",5.27,"170,759",10.26,19.74,
157,KODEX 레버리지,"25,510",150,+0.59%,0,"16,224","63,600",1.96,"23,636,436",N/A,N/A,
158,종근당,"134,500","6,500",-4.61%,"2,500","15,368","11,426",10.24,"314,496",16.77,17.88,
159,부광약품,"23,550",500,-2.08%,500,"15,269","64,838",5.12,"420,846",-233.17,-2.46,
160,KODEX 200TR,"13,335",20,+0.15%,0,"15,202","114,000",4.28,"56,954",N/A,N/A,
161,신세계인터내셔날,"209,500",500,+0.24%,"5,000","14,958","7,140",3.40,"40,758",29.38,8.24,
162,대웅제약,"127,500","2,000",-1.54%,"2,500","14,773","11,587",4.61,"32,504",115.80,2.38,
163,롯데정밀화학,"57,100",700,+1.24%,"5,000","14,732","25,800",22.69,"124,562",7.41,12.65,
164,LG생활건강우,"686,000","1,000",-0.15%,"5,000","14,404","2,100",83.98,"2,395",15.24,N/A,
165,KODEX MSCI Korea TR,"13,260",5,-0.04%,0,"14,215","107,200",0.00,"335,156",N/A,N/A,
166,솔루스첨단소재,"45,850",950,+2.12%,100,"14,025","30,590",5.90,"217,647",-164.34,-5.10,
167,NHN,"71,400",400,+0.56%,500,"13,969","19,565",11.01,"40,050",65.15,1.35,
168,DGB금융지주,"8,160",40,-0.49%,"5,000","13,802","169,146",48.92,"890,762",4.16,7.31,
169,SK네트웍스,"5,530",60,-1.07%,"2,500","13,725","248,188",12.16,"689,572",39.78,1.63,
170,KODEX 종합채권(AA-이상)액티브,"109,095",50,+0.05%,0,"13,724","12,580",0.00,"1,764",N/A,N/A,
171,DL,"88,800","6,500",+7.90%,"5,000","13,712","15,441",23.85,"653,231",6.79,11.84,
172,롯데관광개발,"19,650",550,-2.72%,500,"13,613","69,276",4.68,"553,087",-16.61,-30.43,
173,한국콜마,"56,700",200,+0.35%,500,"12,974","22,881",29.01,"89,221",8.10,29.27,
174,한전KPS,"28,600",500,+1.78%,200,"12,870","45,000",9.65,"241,193",14.78,8.23,
175,동원시스템즈,"49,550","3,850",-7.21%,"5,000","12,694","25,619",1.64,"253,898",24.91,10.97,
176,KODEX 2차전지산업,"17,055",160,+0.95%,0,"12,672","74,300",0.01,"703,598",N/A,N/A,
177,솔루엠,"25,750",250,+0.98%,500,"12,641","49,092",0.04,"3,170,835",25.42,86.98,
178,KG동부제철,"12,600",150,+1.20%,"5,000","12,601","100,009",0.13,"154,031",18.86,7.18,
